original_title,adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,Gross Revenue,Unnamed: 2
Beatriz at Dinner,FALSE,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",http://roadsideattractions.com/filmography/beatriz-at-dinner/,429107,tt5929750,en,"Beatriz, an immigrant from a poor town in Mexico, has drawn on her innate kindness to build a career as a health practitioner. Doug Strutt is a cutthroat, self-satisfied billionaire. When these two opposites meet at a dinner party, their worlds collide, and neither will ever be the same.",6.548206,/ewI8d3zUVKmtOYSMhY2hIzdUzgu.jpg,[],[],6/9/2017,0,83,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,"She was invited, but she's not welcome.",Beatriz at Dinner,FALSE,6.3,22,"$1,188.25 ",
Beyond the Valley of the Dolls,FALSE,,2090000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",http://www.beyondthevalleyofthedolls.com/home.html,5722,tt0065466,en,A hip and happenin' all girl rock group head to LA to claim lead-singer Kelly's inheritance and make it (and make it) in LA. Soon the girls fall into a morass of drugs and deceit as their recording success soars. It takes several tragedies to make them stop and think... but is it too late?,3.129943,/82BGehJQFch1GENnT9j5KwTDQmJ.jpg,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",7/17/1970,40000000,109,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,This Is Not A Sequel. There Has Never Been Anything Like It!,Beyond the Valley of the Dolls,FALSE,6.6,53,$344.00 ,
Black Girl,FALSE,,0,"[{'id': 18, 'name': 'Drama'}]",,84728,tt0068280,en,An aspiring dancer and her wicked sister's resent their mother's love for a foster daughter.,0.2875,/6BkwdDgXVO59BovN3ZagNSQOvpP.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",11/9/1972,0,97,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,She's got to cut it... or cut out.,Black Girl,FALSE,0,0,$628.00 ,
Blade,FALSE,"{'id': 735, 'name': 'Blade Collection', 'poster_path': '/ltjxGZP6aJrwjl7oOZiiZhFgkF1.jpg', 'backdrop_path': '/ev9QybDDzVSahJQdOb71ZuqNVAo.jpg'}",45000000,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}]",http://www.warnerbros.com/blade,36647,tt0120611,en,"When Blade's mother was bitten by a vampire during pregnancy, she did not know that she gave her son a special gift while dying: All the good vampire attributes in combination with the best human skills. Blade and his mentor Whistler battle an evil vampire rebel (Deacon Frost) who plans to take over the outdated vampire council, capture Blade and resurrect voracious blood god La Magra.",15.043454,/r0RQ9ZOEZglLOeYDNJTehVTRoR6.jpg,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Amen Ra Films', 'id': 421}, {'name': 'Imaginary Forces', 'id': 11321}, {'name': 'Marvel Enterprises', 'id': 19551}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8/21/1998,131183530,120,"[{'iso_639_1': 'ru', 'name': 'Pусский'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,Part Man. Part Vampire. All Hero.,Blade,FALSE,6.5,1950,$324.00 ,
Blade Runner,FALSE,"{'id': 422837, 'name': 'Blade Runner Collection', 'poster_path': '/foT46aJ7QPUFDl3CK8ArDl0JaZX.jpg', 'backdrop_path': '/57zhlMYblPute6qb8v16ZmGSPVv.jpg'}",28000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",http://www.warnerbros.com/blade-runner,78,tt0083658,en,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",96.272374,/p64TtbZGCElxQHpAMWmDHkWJlH2.jpg,"[{'name': 'Shaw Brothers', 'id': 5798}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'The Ladd Company', 'id': 7965}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'HK', 'name': 'Hong Kong'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",6/25/1982,33139618,117,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'ja', 'name': '日本語'}, {'iso_639_1': 'hu', 'name': 'Magyar'}]",Released,Man has made his match... now it's his problem.,Blade Runner,FALSE,7.9,3833,"$2,858.00 ",
Blaze,FALSE,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,22711,tt0096943,en,"This movie tells the story of the latter years of Earl Long, a flamboyant governor of Louisiana. The aging Earl, an unapologetic habitue of strip joints, falls in love with young stripper Blaze Starr. When Earl and Blaze move in together, Earl's opponents use this to attack his controversial political program, which included civil rights for blacks in the 1950's.",3.444266,/kIoO8kipjZg76DjjuHVyMV3s5n6.jpg,"[{'name': 'Touchstone Pictures', 'id': 9195}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",12/15/1989,19131000,117,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"A governor. A stripper. Forced to chose between the office he held and the woman he loved, he chose both.",Blaze,FALSE,5.9,14,$839.75 ,
Blue Collar,FALSE,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",,14839,tt0077248,en,"Fed up with mistreatment at the hands of both management and union brass, and coupled with financial hardships on each man's end, three auto assembly line workers hatch a plan to rob a safe at union headquarters.",1.379256,/mvSgpNIRLotosfzwRdwM9GwwH8W.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'TAT Communications Company', 'id': 14109}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2/10/1978,6521083,114,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Whatever became of the American Dream?,Blue Collar,FALSE,7.2,30,$264.00 ,
Bones,FALSE,,10000000,"[{'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",,11380,tt0166110,en,"Over 20 years after his death by a gunshot, Jimmy Bones comes back as a ghost to wreak revenge on those who killed him and to clean up his neighborhood.",6.513545,/xl9Bxz9KQM537Aj7XmvrSvNDUcb.jpg,"[{'name': 'New Line Cinema', 'id': 12}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10/24/2001,7316658,96,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,"This Halloween, unleash the Dogg.",Bones,FALSE,4.3,36,$16.00 ,
Border,FALSE,,0,"[{'id': 28, 'name': 'Action'}, {'id': 10769, 'name': 'Foreign'}, {'id': 36, 'name': 'History'}]",,33125,tt0118751,hi,The year is 1971 when the Pakistani Army is at war with the Indian Soldiers. The Indian battalion is posted in Longewala region in Punjab and are just 150 in number while the Pakistani Army consists of 2000 armed soldiers with tanks.,1.740518,/mmGwawOiUaP4Nkr2b1k0xsVhuY5.jpg,[],[],7/13/1997,0,211,"[{'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,,Border,FALSE,6.5,12,"$1,337.25 ",
Boyz n the Hood,FALSE,,6500000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",,650,tt0101507,en,Boyz n the Hood is the popular and successful film and social criticism from John Singleton about the conditions in South Central Los Angeles where teenagers are involved in gun fights and drug dealing on a daily basis.,6.866506,/9qQdpidN33pTEaxAP5gaTmCPGFq.jpg,"[{'name': 'Columbia Pictures Corporation', 'id': 441}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",7/12/1991,57504069,112,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Once upon a time in South Central L.A... It ain't no fairy tale.,Boyz n the Hood,FALSE,7.4,377,$115.75 ,
Brain Damage,FALSE,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",,27814,tt0094793,en,"A normal, average guy who lives in New York City becomes dependent on an evil, disembodied brain.",4.899686,/eB0cTAa0ishWLEfjvlpJAeagUMD.jpg,"[{'name': 'Palisades Partners', 'id': 65285}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",4/15/1988,0,86,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,It's A Headache From Hell!,Brain Damage,FALSE,6.8,54,$160.00 ,
Brazil,FALSE,,15000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",,68,tt0088846,en,"Low-level bureaucrat Sam Lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. Investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist Harry Tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies.",9.837287,/55Vfc1beLn3pJF4Lw83TRKHenK6.jpg,"[{'name': 'Embassy International Pictures', 'id': 10214}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2/20/1985,0,132,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,It's only a state of mind.,Brazil,FALSE,7.6,877,$328.00 ,
Butch Cassidy and the Sundance Kid,FALSE,,6000000,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}, {'id': 80, 'name': 'Crime'}]",,642,tt0064115,en,"In late 1890s Wyoming, Butch Cassidy is the affable, clever and talkative leader of the outlaw Hole in the Wall Gang. His closest companion is the laconic dead-shot 'Sundance Kid'. As the west rapidly becomes civilized, the law finally catches up to Butch, Sundance and their gang.  Chased doggedly by a special posse, the two decide to make their way to South America in hopes of evading their pursuers once and for all.",6.714577,/jQH0mTzQ1gQ56H8a0z52WreiEok.jpg,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Campanile Productions', 'id': 381}, {'name': 'Newman-Foreman Productions', 'id': 382}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",9/23/1969,102308889,110,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,"Not that it matters, but most of it is true.",Butch Cassidy and the Sundance Kid,FALSE,7.4,659,$377.75 ,
Candyman,FALSE,"{'id': 98580, 'name': 'Candyman Collection', 'poster_path': '/7yGuKyI0YOBZcOcfwP90WkAbwgD.jpg', 'backdrop_path': '/hJjCx4njVdHJobhvr84e5J6MgTw.jpg'}",6000000,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",,9529,tt0103919,en,"The Candyman, a murderous soul with a hook for a hand, is accidentally summoned to reality by a skeptic grad student researching the monster's myth.",12.721362,/w5YQqrwzreHfa7RmXCB7rpLLxbe.jpg,"[{'name': 'Propaganda Films', 'id': 278}, {'name': 'TriStar Pictures', 'id': 559}, {'name': 'PolyGram Filmed Entertainment', 'id': 1382}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10/16/1992,25792310,99,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,You don't have to believe... just beware.,Candyman,FALSE,6.2,303,$224.00 ,
Cape Fear,FALSE,,35000000,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",,1598,tt0101540,en,"Sam Bowden is a small-town corporate attorney. Max Cady is a tattooed, cigar-smoking, bible-quoting, psychotic rapist. What do they have in common? Fourteen years ago, Sam was a public defender assigned to Max Cady's rape trial, and he made a serious error: he hid a document from his illiterate client that could have gotten him acquitted. Now, the cagey, bibliophile Cady has been released, and he intends to teach Sam Bowden and his family a thing or two about loss.",10.302735,/4KvrvcqckdupXXO2YnANtyG7QLK.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}, {'name': 'Cappa Productions', 'id': 691}, {'name': 'Tribeca Productions', 'id': 11391}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",11/15/1991,182300000,128,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,There is nothing in the dark that isn't there in the light. Except fear.,Cape Fear,FALSE,7,692,$518.50 ,
Cape Fear,FALSE,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,11349,tt0055824,en,"Sam Bowden witnesses a rape committed by Max Cady and testifies against him. When released after 8 years in prison, Cady begins stalking Bowden and his family but is always clever enough not to violate the law.",7.583191,/9kFjC22eXK7PCHB4IWaqjpKxST3.jpg,"[{'name': 'Melville-Talbot Productions', 'id': 11390}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",4/12/1962,0,105,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Now he had only one weapon left - murder! ...To prevent an even more shocking crime!,Cape Fear,FALSE,7.2,125,$518.50 ,
Carmen Jones,FALSE,,750000,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",,51044,tt0046828,en,"Version of the Bizet opera set in World War II, with new lyrics and an African-American cast.",3.552627,/5Vo4NeE7dlXBUaikbGnUOmUNHJ3.jpg,"[{'name': 'Carlyle Productions', 'id': 799}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10/27/1954,0,105,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Carmen Jones,FALSE,6.8,14,$292.00 ,
Casablanca,FALSE,,878000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,289,tt0034583,en,"In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.",13.916101,/wOBKAoUJZb5qTsWv5XXvVV2vUzz.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",11/26/1942,10462500,102,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,They had a date with fate in Casablanca!,Casablanca,FALSE,7.9,1462,"$5,110.00 ",
Certain Women,FALSE,,0,"[{'id': 18, 'name': 'Drama'}]",,340487,tt4468634,en,"The lives of three women intersect in small-town America, where each is imperfectly blazing a trail.",11.684425,/mjtDQ9yx0Atb8QxBGcfXNBu0EmX.jpg,"[{'name': 'Film Science', 'id': 1976}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",9/25/2016,1130466,107,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Certain Women,FALSE,6.3,65,"$1,736.25 ",
Children of Men,FALSE,,76000000,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",http://www.universalstudiosentertainment.com/children-of-men/,9693,tt0206634,en,"In 2027, in a chaotic world in which humans can no longer procreate, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea, where her child's birth may help scientists save the future of humankind.",14.114606,/gZ6i32Da76EUxta06GL2BxpC4Cn.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Strike Entertainment', 'id': 655}, {'name': 'Hit & Run Productions', 'id': 11429}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",9/22/2006,69959751,109,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The future's a thing of the past.,Children of Men,FALSE,7.4,2120,$552.00 ,
Christine,FALSE,,0,"[{'id': 27, 'name': 'Horror'}]",http://www.theofficialjohncarpenter.com/christine/,8769,tt0085333,en,"Geeky student Arnie Cunningham falls for Christine, a rusty 1958 Plymouth Fury, and becomes obsessed with restoring the classic automobile to her former glory. As the car changes, so does Arnie, whose newfound confidence turns to arrogance behind the wheel of his exotic beauty. Arnie's girlfriend Leigh and best friend Dennis reach out to him, only to be met by a Fury like no other.",7.106757,/eIFakrk7xLwiNNoiottTBN5EIwy.jpg,"[{'name': 'Columbia Pictures', 'id': 5}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",12/8/1983,21200000,110,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,How do you kill something that can't possibly be alive?,Christine,FALSE,6.5,392,$152.00 ,
Christine,FALSE,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",,4956,tt0051477,fr,"Vienna, 1906. A passionate love story develops between Franz Lobheiner (Alain Delon) and the young Christine (Romy Schneider). Lobheiner is, however, currently seeing the married Baroness von Eggersdorf. Upon learning of his wife's infidelity, the Baron von Eggersdorf provokes a duel with Lobheiner. But the former is no longer a real threat to the Baron. Lobheiner is now passionately in love with Christine. How will this love quartet end? Written by GMeleJr",0.631242,/l6h0lpn3nXeLgEjKykxwhByk1x9.jpg,"[{'name': 'Play Art', 'id': 1826}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",12/19/1958,0,100,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Christine,FALSE,6.3,6,$152.00 ,
Christine,FALSE,,0,"[{'id': 18, 'name': 'Drama'}]",http://www.curzonartificialeye.com/christine,339405,tt4666726,en,"Christine is an ambitious 29-year-old news reporter, in Sarasota, FL, circa 1974. Relentlessly motivated to succeed, she knows she has talent, but being a driven career woman in the 1970s comes with its own challenges, especially when competition for a promotion, unrequited love for a coworker and a tumultuous home life lead to a dissolution of self. With ratings in the cellar, the station manager issues a mandate to deliver juicier and more exploitative stories, a story firmly at odds with Christine’s serious brand of issue-based journalism. To accomplish her goals, she must overcome her self-doubt and give the people what they want.",8.403532,/xji5lxzK4qJYHriyUutSISJVSAC.jpg,"[{'name': 'BorderLine Films', 'id': 10058}, {'name': 'Great Point Media', 'id': 52352}, {'name': 'Fresh Jade', 'id': 72236}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10/14/2016,0,123,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Christine,FALSE,6.9,81,$152.00 ,
Close Encounters of the Third Kind,FALSE,,20000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}]",,840,tt0075860,en,"After an encounter with UFOs, a line worker feels undeniably drawn to an isolated area in the wilderness where something spectacular is about to happen.",10.610446,/mABOVIUl5lB0WF4HG28rfamgxG1.jpg,"[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'EMI Films', 'id': 8263}, {'name': 'Julia Phillips and Michael Phillips Productions', 'id': 11458}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",11/16/1977,303788635,135,"[{'iso_639_1': 'hi', 'name': 'हिन्दी'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,We are not alone.,Close Encounters of the Third Kind,FALSE,7.2,1122,$453.50 ,
