,ID,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,totalSeasons,BoxOfficeNew
27,0,"Emily Blunt, John Krasinski, Millicent Simmonds, Noah Jupe",,,USA,10-Jul-18,John Krasinski,"Drama, Horror, Sci-Fi","English, American Sign Language",82,"In a post-apocalyptic world, a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing.",https://m.media-amazon.com/images/M/MV5BMjI0MDMzNTQ0M15BMl5BanBnXkFtZTgwMTM5NzM3NDM@._V1_SX300.jpg,Paramount Pictures,PG-13,"{'Source': 'Internet Movie Database', 'Value': '7.5/10'}",6-Apr-18,TRUE,90 min,A Quiet Place,movie,https://www.facebook.com/AQuietPlaceMovie,"Bryan Woods (screenplay by), Scott Beck (screenplay by), John Krasinski (screenplay by), Bryan Woods (story by), Scott Beck (story by)",2018,tt6644200,7.5,"319,499",,188024361
30,0,"David Oyelowo, Rosamund Pike, Tom Felton, Jack Davenport",1 win & 4 nominations.,"$3,901,302 ","Czech Republic, UK, USA, France, Botswana",6-Jun-17,Amma Asante,"Biography, Drama, Romance","Tswana, English",65,"The story of King Seretse Khama of Botswana and how his loving but controversial marriage to a British white woman, Ruth Williams, put his kingdom into political and diplomatic turmoil.",https://m.media-amazon.com/images/M/MV5BOGRhMjY4YjAtOGI4ZC00OTc1LTk0ZDUtMTBhNjMyMzEzMjc3L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTgwMTQyNjY@._V1_SX300.jpg,Harbinger Pictures,PG-13,"{'Source': 'Internet Movie Database', 'Value': '6.8/10'}",10-Feb-17,TRUE,111 min,A United Kingdom,movie,http://www.aunitedkingdomfilm.com/,"Guy Hibbert (screenplay by), Susan Williams (based upon the book 'Colour Bar' by)",2016,tt3387266,6.8,"12,526",,3902185
33,0,"Eva Beckmann, Rena Drexler, Renee Firestone, Erika Jacoby",,,"Poland, USA",,Jon Kean,Documentary,English,74,"""You're free. Go home"" Most Holocaust films end with these words, the very words that survivors heard at liberation. After Auschwitz begins with these words, inviting audiences to ...",https://m.media-amazon.com/images/M/MV5BMTQyYWEwNWMtZWIyNy00NjBmLWIyNmMtNGRmMWU1ZmYxYzkxXkEyXkFqcGdeQXVyMTM5MzY0NjI@._V1_SX300.jpg,,,"{'Source': 'Internet Movie Database', 'Value': '7.0/10'}",25-Mar-17,TRUE,83 min,After Auschwitz,movie,,"Deborah Blum, Jon Kean",2017,tt6079976,7,55,,73885
35,0,"Mitsuo Iwata, Nozomu Sasaki, Mami Koyama, Tesshô Genda",1 win.,,Japan,17-Jul-01,Katsuhiro Ôtomo,"Animation, Drama, Sci-Fi, Thriller",Japanese,,A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by two teenagers and a group of psychics.,https://m.media-amazon.com/images/M/MV5BM2ZiZTk1ODgtMTZkNS00NTYxLWIxZTUtNWExZGYwZTRjODViXkEyXkFqcGdeQXVyMTE2MzA3MDM@._V1_SX300.jpg,Streamline Pictures,R,"{'Source': 'Internet Movie Database', 'Value': '8.1/10'}",16-Jul-88,TRUE,124 min,Akira,movie,,"Katsuhiro Ôtomo (screenplay), Izô Hashimoto (screenplay), Katsuhiro Ôtomo (manga)",1988,tt0094625,8.1,"143,415",,
37,0,"Brigitte Mira, El Hedi ben Salem, Irm Hermann, Elma Karlowa",4 wins & 1 nomination.,,West Germany,10-Jun-03,Rainer Werner Fassbinder,"Drama, Romance","German, Arabic",,"An almost accidental romance is kindled between a German woman in her mid-sixties and a Moroccan migrant worker around twenty-five years younger. They abruptly decide to marry, appalling everyone around them.",https://m.media-amazon.com/images/M/MV5BMTQ5YzM4MGMtYzIwZS00MjliLTg5NDUtZTUxYjJhNTI1NDU3XkEyXkFqcGdeQXVyNjUwMTQ4NjE@._V1_SX300.jpg,New Yorker Films,Not Rated,"{'Source': 'Internet Movie Database', 'Value': '8.1/10'}",31-Oct-74,TRUE,92 min,Ali: Fear Eats the Soul,movie,,Rainer Werner Fassbinder,1974,tt0071141,8.1,"16,591",,
39,0,"Tom Skerritt, Sigourney Weaver, Veronica Cartwright, Harry Dean Stanton",Won 1 Oscar. Another 16 wins & 19 nominations.,,"UK, USA",6-Jan-04,Ridley Scott,"Horror, Sci-Fi",English,89,"After a space merchant vessel perceives an unknown transmission as a distress call, its landing on the source moon finds one of the crew attacked by a mysterious lifeform, and they soon realize that its life cycle has merely begun.",https://m.media-amazon.com/images/M/MV5BMmQ2MmU3NzktZjAxOC00ZDZhLTk4YzEtMDMyMzcxY2IwMDAyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,20th Century Fox,R,"{'Source': 'Internet Movie Database', 'Value': '8.4/10'}",22-Jun-79,TRUE,117 min,Alien,movie,https://www.foxmovies.com/movies/alien,"Dan O'Bannon (story), Ronald Shusett (story), Dan O'Bannon (screenplay)",1979,tt0078748,8.4,"725,857",,
42,0,"Jason Flemyng, Antony Sher, Dorothy Tutin, Anthony Higgins",2 wins & 1 nomination.,,UK,2-Nov-99,Nancy Meckler,"Comedy, Drama, Romance",English,,"A passionately committed young dancer is forced to re-examine his career and life when faced with death, finding hope through an older man who becomes his lover, mentor and companion.",https://m.media-amazon.com/images/M/MV5BODM3NzI3NTgzMV5BMl5BanBnXkFtZTcwODIzODAzMQ@@._V1_SX300.jpg,First Look Pictures,R,"{'Source': 'Internet Movie Database', 'Value': '5.7/10'}",25-Jul-97,TRUE,98 min,Alive and Kicking,movie,,Martin Sherman,1996,tt0116631,5.7,758,,68485
44,0,"Kenneth Branagh, Judi Dench, Ian McKellen, Nonso Anozie",,,UK,13-Aug-19,Kenneth Branagh,"Biography, Drama, History",English,59,A look at the final days in the life of renowned playwright William Shakespeare.,https://m.media-amazon.com/images/M/MV5BODI5Nzc1Nzk2Ml5BMl5BanBnXkFtZTgwNTg5MTQ5NjM@._V1_SX300.jpg,Sony Pictures Classics,PG-13,"{'Source': 'Internet Movie Database', 'Value': '6.1/10'}",10-May-19,TRUE,101 min,All Is True,movie,https://www.sonyclassics.com/allistrue/,Ben Elton,2018,tt9206798,6.1,"1,432",,1200481
47,0,"Jane Wyman, Rock Hudson, Agnes Moorehead, Conrad Nagel",1 win.,,USA,19-Jun-01,Douglas Sirk,"Drama, Romance",English,,"An upper-class widow falls in love with a much younger, down-to-earth nurseryman, much to the disapproval of her children and criticism of her country club peers.",https://m.media-amazon.com/images/M/MV5BOTAzZmI5ODgtYzYzZS00ZDQxLTk5NDItNzY3YjdhYjE3Nzk3XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Universal,Not Rated,"{'Source': 'Internet Movie Database', 'Value': '7.6/10'}",5-Apr-56,TRUE,89 min,All That Heaven Allows,movie,,"Peg Fenwick (screenplay), Edna L. Lee (story), Harry Lee (story)",1955,tt0047811,7.6,"11,934",,
49,0,,,,USA,,Kelly Richmond Pope,Documentary,English,,"In 2012, Crundwell was arrested as the largest municipal fraud perpetrator in the nation's history, embezzling upwards of $50 million as the comptroller and treasurer of Dixon, a city in ...",https://m.media-amazon.com/images/M/MV5BZWE2YzE2MjQtNWY1YS00MzJkLWIwNWEtNGZiNDg3YzQwMjBhXkEyXkFqcGdeQXVyNjY5NjI0NDM@._V1_SX300.jpg,Kartemquin Films/Helios Digital Learning,TV-14,"{'Source': 'Internet Movie Database', 'Value': '6.6/10'}",,TRUE,70 min,All the Queen's Horses,movie,https://www.allthequeenshorsesfilm.com/,,2017,tt5709852,6.6,218,,16172
51,0,"Ioan Gruffudd, Romola Garai, Benedict Cumberbatch, Albert Finney",1 win & 6 nominations.,"$21,156,133 ","USA, UK",13-Nov-07,Michael Apted,"Biography, Drama, History, Romance",English,65,"The idealist William Wilberforce maneuvers his way through Parliament, endeavoring to end the British transatlantic slave trade.",https://m.media-amazon.com/images/M/MV5BMTI5MTkxMDA4M15BMl5BanBnXkFtZTcwNjA4Mjg0MQ@@._V1_SX300.jpg,Samuel Goldwyn Films LLC,PG,"{'Source': 'Internet Movie Database', 'Value': '7.5/10'}",23-Feb-07,TRUE,118 min,Amazing Grace,movie,http://www.amazinggracemovie.com/,Steven Knight,2006,tt0454776,7.5,"22,986",,4450456
54,0,"Alicia Silverstone, Mena Suvari, Jennifer Bartels, Makenna James",,,USA,,,Comedy,English,,"A posh single mother struggles to raise her two daughters alone in 1970s Los Angeles, while simultaneously dealing with her love life together with her two best friends. Inspired by the childhood of reality star Kyle Richards.",https://m.media-amazon.com/images/M/MV5BZDI4ODJhZDItNzE0MC00MTdmLTg1NGQtNDE3MWE3MjdmMmIzXkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_SX300.jpg,,TV-14,"{'Source': 'Internet Movie Database', 'Value': '6.2/10'}",7-Jun-18,TRUE,30 min,American Woman,series,,John Riggi,2018,tt5910786,6.2,"1,113",1,236637
55,0,"Mitsuki Takahata, Shinnosuke Mitsushima, Jamison Boaz, Ray Chase",1 win & 2 nominations.,"$46,020 ",Japan,30-Jan-18,Kenji Kamiyama,"Animation, Adventure, Drama, Family, Fantasy, Sci-Fi","Japanese, English",69,"In the near future, a high school senior discovers that events in her waking life begin to parallel events in her dreams.",https://m.media-amazon.com/images/M/MV5BNDcwZjIyMmItY2IzNC00YjQyLThjZTMtNGY5NjJkNTM3ZTY3XkEyXkFqcGdeQXVyNjc2NTgzMzc@._V1_SX300.jpg,GKIDS,,"{'Source': 'Internet Movie Database', 'Value': '6.3/10'}",18-Mar-17,TRUE,111 min,Ancien and the Magic Tablet,movie,http://www.gkids.com/films/napping-princess/,Kenji Kamiyama,2017,tt5731132,6.3,911,,
58,0,"Anatoliy Solonitsyn, Ivan Lapikov, Nikolay Grinko, Nikolay Sergeev",3 wins.,,Soviet Union,2-Feb-99,Andrei Tarkovsky,"Biography, Drama, History","Russian, Italian, Tatar",,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.",https://m.media-amazon.com/images/M/MV5BMjhkN2Q3MzctNzJiOC00OTc5LWIwOWYtNWRiYWUyMDk0MGZiXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,Criterion Collection,R,"{'Source': 'Internet Movie Database', 'Value': '8.2/10'}",1-Oct-73,TRUE,205 min,Andrei Rublev,movie,https://www.criterion.com/films/300-andrei-rublev,"Andrey Konchalovskiy, Andrei Tarkovsky",1966,tt0060107,8.2,"39,941",,102021
60,0,"Ella Hunt, Malcolm Cumming, Sarah Swire, Christopher Leveaux",1 nomination.,,UK,12-Feb-19,John McPhail,"Comedy, Fantasy, Horror, Musical",English,63,"A zombie apocalypse threatens the sleepy town of Little Haven - at Christmas - forcing Anna and her friends to fight, slash and sing their way to survival, facing the undead in a desperate race to reach their loved ones. But they soon discover that no one is safe in this new world, and with civilization falling apart around them, the only people they can truly rely on are each other.",https://m.media-amazon.com/images/M/MV5BMTU4NTM4NDQyNV5BMl5BanBnXkFtZTgwMjY0NTI0NjM@._V1_SX300.jpg,Orion Pictures,R,"{'Source': 'Internet Movie Database', 'Value': '6.0/10'}",30-Nov-18,TRUE,93 min,Anna and the Apocalypse,movie,http://www.aatamovie.com/,"Alan McDonald, Ryan McHenry",2017,tt6433880,6,"4,956",,545597
63,0,"Natalie Portman, Benedict Wong, Sonoya Mizuno, David Gyasi",,"$20,636,742 ","UK, USA",29-May-18,Alex Garland,"Adventure, Drama, Horror, Mystery, Sci-Fi, Thriller",English,79,"A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.",https://m.media-amazon.com/images/M/MV5BMTk2Mjc2NzYxNl5BMl5BanBnXkFtZTgwMTA2OTA1NDM@._V1_SX300.jpg,Paramount Pictures,R,"{'Source': 'Internet Movie Database', 'Value': '6.9/10'}",23-Feb-18,TRUE,115 min,Annihilation,movie,https://www.facebook.com/AnnihilationMovie,"Alex Garland (written for the screen by), Jeff VanderMeer (based on the novel by)",2018,tt2798920,6.9,"236,582",,32732301
66,0,"Neil Armstrong, Michael Collins, Buzz Aldrin, Deke Slayton",,,USA,14-May-19,Todd Douglas Miller,"Documentary, History",English,88,A look at the Apollo 11 mission to land on the moon led by commander Neil Armstrong and pilots Buzz Aldrin and Michael Collins.,https://m.media-amazon.com/images/M/MV5BMTYyMzEzNjI4M15BMl5BanBnXkFtZTgwODgxOTgyNzM@._V1_SX300.jpg,NEON,G,"{'Source': 'Internet Movie Database', 'Value': '8.3/10'}",26-Jun-19,TRUE,93 min,Apollo 11,movie,https://www.apollo11movie.com,,2019,tt8760684,8.3,"10,497",,9039891
69,0,"Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg",Won 1 Oscar. Another 64 wins & 251 nominations.,"$100,501,349 ","USA, Canada, India",14-Feb-17,Denis Villeneuve,"Drama, Mystery, Sci-Fi, Thriller","English, Russian, Mandarin",81,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.,https://m.media-amazon.com/images/M/MV5BMTExMzU0ODcxNDheQTJeQWpwZ15BbWU4MDE1OTI4MzAy._V1_SX300.jpg,21 Laps Entertainment,PG-13,"{'Source': 'Internet Movie Database', 'Value': '7.9/10'}",11-Nov-16,TRUE,116 min,Arrival,movie,http://www.arrivalmovie.com/,"Eric Heisserer (screenplay by), Ted Chiang (based on the story ""Story of Your Life"" written by)",2016,tt2543164,7.9,"527,276",,
72,0,"Susan Brown, Jonathan Capehart, Leora Einleger, Ari Einliger",,,USA,3-May-19,Ryan White,"Documentary, Biography",English,68,"Charting the incredible life of Dr. Ruth Westheimer, a Holocaust survivor who became America's most famous sex therapist.",https://m.media-amazon.com/images/M/MV5BMmMyMWYxOTItNmZjMy00ZTQ3LTk1NzQtOWFhZGE4OGViMDNlXkEyXkFqcGdeQXVyODAzODU1NDQ@._V1_SX300.jpg,Magnolia Pictures,Not Rated,"{'Source': 'Internet Movie Database', 'Value': '7.6/10'}",3-May-19,TRUE,100 min,Ask Dr. Ruth,movie,https://www.askdrruthfilm.com/,,2019,tt9353586,7.6,397,,297195
75,0,"Willem Dafoe, Rupert Friend, Oscar Isaac, Mads Mikkelsen",,,"Ireland, Switzerland, UK, France, USA",,Julian Schnabel,"Biography, Drama","English, French",76,"A look at the life of painter Vincent van Gogh during the time he lived in Arles and Auvers-sur-Oise, France.",https://m.media-amazon.com/images/M/MV5BOTRmZGJiZjUtMGJjYi00MzZhLTkzYjUtODE1Yjk5ZDRiODhlXkEyXkFqcGdeQXVyODAzODU1NDQ@._V1_SX300.jpg,,PG-13,"{'Source': 'Internet Movie Database', 'Value': '6.9/10'}",29-Mar-19,TRUE,111 min,At Eternity's Gate,movie,,"Jean-Claude Carrière, Julian Schnabel, Louise Kugelberg",2018,tt6938828,6.9,"18,434",,2294915
77,0,"Ryo Ishibashi, Eihi Shiina, Tetsu Sawaki, Jun Kunimura",4 wins & 2 nominations.,,Japan,4-Jun-02,Takashi Miike,"Drama, Horror, Mystery",Japanese,69,"A widower takes an offer to screen girls at a special audition, arranged for him by a friend to find him a new wife. The one he fancies is not who she appears to be after all.",https://m.media-amazon.com/images/M/MV5BMWFkYmI3ZmItYWM3MS00NGRhLWEyYTMtNTZhNzBhMWRjMjdjXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,American Cinemateque,R,"{'Source': 'Internet Movie Database', 'Value': '7.2/10'}",3-Mar-00,TRUE,115 min,Audition,movie,,"Ryû Murakami (novel), Daisuke Tengan (screenplay)",1999,tt0235198,7.2,"66,172",,131296
80,0,"Adam West, Burt Ward, Lee Meriwether, Cesar Romero",1 win.,,USA,23-Apr-02,Leslie H. Martinson,"Adventure, Comedy, Crime, Family",English,71,The Dynamic Duo faces four supervillains who plan to hold the world for ransom with the help of a secret invention that instantly dehydrates people.,https://m.media-amazon.com/images/M/MV5BODVjNjdlYTQtMWIwYy00MWIyLWI2ZmMtZWFhMTdjNjAzNGVlXkEyXkFqcGdeQXVyNTAyNDQ2NjI@._V1_SX300.jpg,20th Century Fox,PG,"{'Source': 'Internet Movie Database', 'Value': '6.5/10'}",30-Jul-66,TRUE,105 min,Batman: The Movie,movie,,"Lorenzo Semple Jr., Bob Kane (based upon the characters created by)",1966,tt0060153,6.5,"27,776",,175750384
83,0,"Salma Hayek, John Lithgow, Connie Britton, Jay Duplass",2 wins & 8 nominations.,"$7,115,001 ",USA,,Miguel Arteta,"Comedy, Drama","English, Spanish",68,A holistic medicine practitioner attends a wealthy client's dinner party after her car breaks down.,https://m.media-amazon.com/images/M/MV5BNDU3M2EwZWEtMGQxZS00NmFjLTlhMDItMDU5NGU1MGUyZmVmXkEyXkFqcGdeQXVyNjU2NTMxOTg@._V1_SX300.jpg,Roadside Attractions,R,"{'Source': 'Internet Movie Database', 'Value': '6.0/10'}",9-Jun-17,TRUE,82 min,Beatriz at Dinner,movie,http://www.beatrizatdinnermovie.com/,Mike White,2017,tt5929750,6,"8,132",,7115854
86,0,"Masami Nagasawa, Ryûhei Matsuda, Hiroki Hasegawa, Masahiro Higashide",4 nominations.,,Japan,,Kiyoshi Kurosawa,"Drama, Sci-Fi",Japanese,64,"Three aliens travel to Earth in preparation for a mass invasion, taking possession of human bodies.",https://m.media-amazon.com/images/M/MV5BOGVhYTBhNGMtMjU1Mi00NWI3LTliZGEtYjhmMjhiZWNiNWM2XkEyXkFqcGdeQXVyNTI4ODg2Mjc@._V1_SX300.jpg,,R,"{'Source': 'Internet Movie Database', 'Value': '6.0/10'}",16-Sep-17,TRUE,129 min,Before We Vanish,movie,,"Tomohiro Maekawa (based on the play by), Kiyoshi Kurosawa (screenplay), Sachiko Tanaka (screenplay)",2017,tt5999530,6,"1,193",,52087
88,0,"Tatsuya Nakadai, Katsuyuki Itô, Aiko Nagayama, Shigako Shimegi",1 nomination.,,Japan,,Eiichi Yamamoto,"Animation, Drama, Fantasy, Horror",Japanese,70,"An evil feudal lord rapes a village girl on her wedding night and proceeds to ruin her and her husband's lives. After she's eventually banished from her village, the girl makes a pact with the devil to gain magical ability and take revenge.",https://m.media-amazon.com/images/M/MV5BNTY4NDVhMDYtMjVjZS00YTA0LTllMjItYjNlNTU0YWZmMmMxXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,,Unrated,"{'Source': 'Internet Movie Database', 'Value': '7.4/10'}",12-Jul-16,TRUE,86 min,Belladonna of Sadness,movie,,"Yoshiyuki Fukuda, Jules Michelet (novel), Eiichi Yamamoto",1973,tt0071203,7.4,"2,691",,
91,0,"Catherine Deneuve, Jean Sorel, Michel Piccoli, Geneviève Page",Nominated for 1 BAFTA Film Award. Another 5 wins & 2 nominations.,,"France, Italy",22-Jan-02,Luis Buñuel,Drama,"French, Spanish, Mongolian",,A frigid young housewife decides to spend her midweek afternoons as a prostitute.,https://m.media-amazon.com/images/M/MV5BZjNkNGJjYWEtM2IyNi00ZjM5LWFlYjYtYjQ4NTU5MGFlMTI2XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,Miramax Zoe,R,"{'Source': 'Internet Movie Database', 'Value': '7.7/10'}",10-Apr-68,TRUE,100 min,Belle de Jour,movie,http://www.criterion.com/films/27949-belle-de-jour,"Joseph Kessel (novel), Luis Buñuel (adaptation), Jean-Claude Carrière (adaptation)",1967,tt0061395,7.7,"36,333",,26331
