,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,totalSeasons
0,"Casey Affleck, Rooney Mara, McColm Cephas Jr., Kenneisha Thompson",11 wins & 17 nominations.,"$1,594,798 ",USA,3-Oct-17,David Lowery,"Drama, Fantasy, Romance","English, Spanish",84,"In this singular exploration of legacy, love, loss, and the enormity of existence, a recently deceased, white-sheeted ghost returns to his suburban home to try to reconnect with his bereft wife.",https://m.media-amazon.com/images/M/MV5BMzcyNTc1ODQzMF5BMl5BanBnXkFtZTgwNTgzMzY4MTI@._V1_SX300.jpg,Ideaman Studios,R,"{'Source': 'Internet Movie Database', 'Value': '6.8/10'}",27-Jul-17,TRUE,92 min,A Ghost Story,movie,https://aghost.store/shop/welcome,David Lowery,2017,tt6265828,6.8,"48,114",
1,"Casey Affleck, Rooney Mara, McColm Cephas Jr., Kenneisha Thompson",11 wins & 17 nominations.,"$1,594,798 ",USA,3-Oct-17,David Lowery,"Drama, Fantasy, Romance","English, Spanish",84,"In this singular exploration of legacy, love, loss, and the enormity of existence, a recently deceased, white-sheeted ghost returns to his suburban home to try to reconnect with his bereft wife.",https://m.media-amazon.com/images/M/MV5BMzcyNTc1ODQzMF5BMl5BanBnXkFtZTgwNTgzMzY4MTI@._V1_SX300.jpg,Ideaman Studios,R,"{'Source': 'Rotten Tomatoes', 'Value': '90%'}",27-Jul-17,TRUE,92 min,A Ghost Story,movie,https://aghost.store/shop/welcome,David Lowery,2017,tt6265828,6.8,"48,114",
2,"Casey Affleck, Rooney Mara, McColm Cephas Jr., Kenneisha Thompson",11 wins & 17 nominations.,"$1,594,798 ",USA,3-Oct-17,David Lowery,"Drama, Fantasy, Romance","English, Spanish",84,"In this singular exploration of legacy, love, loss, and the enormity of existence, a recently deceased, white-sheeted ghost returns to his suburban home to try to reconnect with his bereft wife.",https://m.media-amazon.com/images/M/MV5BMzcyNTc1ODQzMF5BMl5BanBnXkFtZTgwNTgzMzY4MTI@._V1_SX300.jpg,Ideaman Studios,R,"{'Source': 'Metacritic', 'Value': '84/100'}",27-Jul-17,TRUE,92 min,A Ghost Story,movie,https://aghost.store/shop/welcome,David Lowery,2017,tt6265828,6.8,"48,114",
0,"The Beatles, John Lennon, Paul McCartney, George Harrison",Nominated for 2 Oscars. Another 2 wins & 5 nominations.,N/A,UK,24-Sep-02,Richard Lester,"Comedy, Music, Musical","English, German, French",96,"Over two ""typical"" days in the life of The Beatles, the boys struggle to keep themselves and Sir Paul McCartney's mischievous grandfather in check while preparing for a live television performance.",https://m.media-amazon.com/images/M/MV5BZjQyMGUwNzAtNTc2MC00Y2FjLThlM2ItZGRjNzM0OWVmZGYyXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Miramax,G,"{'Source': 'Internet Movie Database', 'Value': '7.6/10'}",7-Jul-64,TRUE,87 min,A Hard Day's Night,movie,http://www.miramax.com/mm_front/owa/mp.entryPoint?action=0&amp;midStr=1069,Alun Owen (original screenplay),1964,tt0058182,7.6,"37,305",
1,"The Beatles, John Lennon, Paul McCartney, George Harrison",Nominated for 2 Oscars. Another 2 wins & 5 nominations.,N/A,UK,24-Sep-02,Richard Lester,"Comedy, Music, Musical","English, German, French",96,"Over two ""typical"" days in the life of The Beatles, the boys struggle to keep themselves and Sir Paul McCartney's mischievous grandfather in check while preparing for a live television performance.",https://m.media-amazon.com/images/M/MV5BZjQyMGUwNzAtNTc2MC00Y2FjLThlM2ItZGRjNzM0OWVmZGYyXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Miramax,G,"{'Source': 'Rotten Tomatoes', 'Value': '98%'}",7-Jul-64,TRUE,87 min,A Hard Day's Night,movie,http://www.miramax.com/mm_front/owa/mp.entryPoint?action=0&amp;midStr=1069,Alun Owen (original screenplay),1964,tt0058182,7.6,"37,305",
2,"The Beatles, John Lennon, Paul McCartney, George Harrison",Nominated for 2 Oscars. Another 2 wins & 5 nominations.,N/A,UK,24-Sep-02,Richard Lester,"Comedy, Music, Musical","English, German, French",96,"Over two ""typical"" days in the life of The Beatles, the boys struggle to keep themselves and Sir Paul McCartney's mischievous grandfather in check while preparing for a live television performance.",https://m.media-amazon.com/images/M/MV5BZjQyMGUwNzAtNTc2MC00Y2FjLThlM2ItZGRjNzM0OWVmZGYyXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Miramax,G,"{'Source': 'Metacritic', 'Value': '96/100'}",7-Jul-64,TRUE,87 min,A Hard Day's Night,movie,http://www.miramax.com/mm_front/owa/mp.entryPoint?action=0&amp;midStr=1069,Alun Owen (original screenplay),1964,tt0058182,7.6,"37,305",
0,"Tom Hanks, Geena Davis, Lori Petty, Madonna",Nominated for 2 Golden Globes. Another 6 wins & 11 nominations.,N/A,USA,9-Sep-97,Penny Marshall,"Comedy, Drama, Family, Sport",English,67,Two sisters join the first female professional baseball league and struggle to help it succeed amidst their own growing rivalry.,https://m.media-amazon.com/images/M/MV5BNjQ1NTQyYjktZDc5My00NDA1LWI1NmItY2ViNjQ0NDk4NmRjXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,Columbia Pictures,PG,"{'Source': 'Internet Movie Database', 'Value': '7.2/10'}",1-Jul-92,TRUE,128 min,A League of Their Own,movie,N/A,"Kim Wilson (story), Kelly Candaele (story), Lowell Ganz (screenplay), Babaloo Mandel (screenplay)",1992,tt0104694,7.2,"85,062",
1,"Tom Hanks, Geena Davis, Lori Petty, Madonna",Nominated for 2 Golden Globes. Another 6 wins & 11 nominations.,N/A,USA,9-Sep-97,Penny Marshall,"Comedy, Drama, Family, Sport",English,67,Two sisters join the first female professional baseball league and struggle to help it succeed amidst their own growing rivalry.,https://m.media-amazon.com/images/M/MV5BNjQ1NTQyYjktZDc5My00NDA1LWI1NmItY2ViNjQ0NDk4NmRjXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,Columbia Pictures,PG,"{'Source': 'Rotten Tomatoes', 'Value': '78%'}",1-Jul-92,TRUE,128 min,A League of Their Own,movie,N/A,"Kim Wilson (story), Kelly Candaele (story), Lowell Ganz (screenplay), Babaloo Mandel (screenplay)",1992,tt0104694,7.2,"85,062",
2,"Tom Hanks, Geena Davis, Lori Petty, Madonna",Nominated for 2 Golden Globes. Another 6 wins & 11 nominations.,N/A,USA,9-Sep-97,Penny Marshall,"Comedy, Drama, Family, Sport",English,67,Two sisters join the first female professional baseball league and struggle to help it succeed amidst their own growing rivalry.,https://m.media-amazon.com/images/M/MV5BNjQ1NTQyYjktZDc5My00NDA1LWI1NmItY2ViNjQ0NDk4NmRjXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,Columbia Pictures,PG,"{'Source': 'Metacritic', 'Value': '67/100'}",1-Jul-92,TRUE,128 min,A League of Their Own,movie,N/A,"Kim Wilson (story), Kelly Candaele (story), Lowell Ganz (screenplay), Babaloo Mandel (screenplay)",1992,tt0104694,7.2,"85,062",
0,"Rolf Lassgård, Bahar Pars, Filip Berg, Ida Engvoll",Nominated for 2 Oscars. Another 14 wins & 21 nominations.,"$3,358,518 ",Sweden,27-Dec-16,Hannes Holm,"Comedy, Drama, Romance","Swedish, Persian",70,"Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors.",https://m.media-amazon.com/images/M/MV5BMDZlYjBkZWYtMmUyZS00ZmFmLThlMGQtYjdiMzFlNDkxNjZhL2ltYWdlXkEyXkFqcGdeQXVyNDU0NjMyNTQ@._V1_SX300.jpg,Tre Vänner Produktion AB,PG-13,"{'Source': 'Internet Movie Database', 'Value': '7.7/10'}",30-Sep-16,TRUE,116 min,A Man Called Ove,movie,http://sfstudios.se/,"Hannes Holm (screenplay), Fredrik Backman (novel)",2015,tt4080728,7.7,"40,209",
1,"Rolf Lassgård, Bahar Pars, Filip Berg, Ida Engvoll",Nominated for 2 Oscars. Another 14 wins & 21 nominations.,"$3,358,518 ",Sweden,27-Dec-16,Hannes Holm,"Comedy, Drama, Romance","Swedish, Persian",70,"Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors.",https://m.media-amazon.com/images/M/MV5BMDZlYjBkZWYtMmUyZS00ZmFmLThlMGQtYjdiMzFlNDkxNjZhL2ltYWdlXkEyXkFqcGdeQXVyNDU0NjMyNTQ@._V1_SX300.jpg,Tre Vänner Produktion AB,PG-13,"{'Source': 'Rotten Tomatoes', 'Value': '90%'}",30-Sep-16,TRUE,116 min,A Man Called Ove,movie,http://sfstudios.se/,"Hannes Holm (screenplay), Fredrik Backman (novel)",2015,tt4080728,7.7,"40,209",
2,"Rolf Lassgård, Bahar Pars, Filip Berg, Ida Engvoll",Nominated for 2 Oscars. Another 14 wins & 21 nominations.,"$3,358,518 ",Sweden,27-Dec-16,Hannes Holm,"Comedy, Drama, Romance","Swedish, Persian",70,"Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors.",https://m.media-amazon.com/images/M/MV5BMDZlYjBkZWYtMmUyZS00ZmFmLThlMGQtYjdiMzFlNDkxNjZhL2ltYWdlXkEyXkFqcGdeQXVyNDU0NjMyNTQ@._V1_SX300.jpg,Tre Vänner Produktion AB,PG-13,"{'Source': 'Metacritic', 'Value': '70/100'}",30-Sep-16,TRUE,116 min,A Man Called Ove,movie,http://sfstudios.se/,"Hannes Holm (screenplay), Fredrik Backman (novel)",2015,tt4080728,7.7,"40,209",
0,"David Niven, Kim Hunter, Robert Coote, Kathleen Byron",1 win & 2 nominations.,N/A,UK,24-Jun-08,"Michael Powell, Emeric Pressburger","Comedy, Drama, Fantasy, Romance, War","English, French, Russian",N/A,A British wartime aviator who cheats death must argue for his life before a celestial court.,https://m.media-amazon.com/images/M/MV5BNjRlNzNhMDYtZmYxNC00ZDVlLTlkNGMtYTYxNDI5MjcxNWYzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Universal Pictures,PG,"{'Source': 'Internet Movie Database', 'Value': '8.1/10'}",1-Mar-47,TRUE,104 min,A Matter of Life and Death,movie,N/A,"Michael Powell, Emeric Pressburger",1946,tt0038733,8.1,"16,888",
1,"David Niven, Kim Hunter, Robert Coote, Kathleen Byron",1 win & 2 nominations.,N/A,UK,24-Jun-08,"Michael Powell, Emeric Pressburger","Comedy, Drama, Fantasy, Romance, War","English, French, Russian",N/A,A British wartime aviator who cheats death must argue for his life before a celestial court.,https://m.media-amazon.com/images/M/MV5BNjRlNzNhMDYtZmYxNC00ZDVlLTlkNGMtYTYxNDI5MjcxNWYzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Universal Pictures,PG,"{'Source': 'Rotten Tomatoes', 'Value': '97%'}",1-Mar-47,TRUE,104 min,A Matter of Life and Death,movie,N/A,"Michael Powell, Emeric Pressburger",1946,tt0038733,8.1,"16,888",
0,"Emma Bell, Sara Vertongen, Rose Williams, Benjamin Wainwright",3 wins & 22 nominations.,"$1,864,266 ","UK, Belgium, USA, Canada",11-Jul-17,Terence Davies,"Biography, Drama",English,77,"The story of American poet Emily Dickinson from her early days as a young schoolgirl to her later years as a reclusive, unrecognized artist.",https://m.media-amazon.com/images/M/MV5BZDNhNDg5ZGItMzA2YS00NDRlLWE2NTItNWQ0OGEwZGIyOTc2XkEyXkFqcGdeQXVyNDU0NjMyNTQ@._V1_SX300.jpg,Hurricane Films,PG-13,"{'Source': 'Internet Movie Database', 'Value': '6.5/10'}",7-Apr-17,TRUE,125 min,A Quiet Passion,movie,http://www.hurricanefilms.net/,Terence Davies,2016,tt2392830,6.5,"4,665",
1,"Emma Bell, Sara Vertongen, Rose Williams, Benjamin Wainwright",3 wins & 22 nominations.,"$1,864,266 ","UK, Belgium, USA, Canada",11-Jul-17,Terence Davies,"Biography, Drama",English,77,"The story of American poet Emily Dickinson from her early days as a young schoolgirl to her later years as a reclusive, unrecognized artist.",https://m.media-amazon.com/images/M/MV5BZDNhNDg5ZGItMzA2YS00NDRlLWE2NTItNWQ0OGEwZGIyOTc2XkEyXkFqcGdeQXVyNDU0NjMyNTQ@._V1_SX300.jpg,Hurricane Films,PG-13,"{'Source': 'Rotten Tomatoes', 'Value': '92%'}",7-Apr-17,TRUE,125 min,A Quiet Passion,movie,http://www.hurricanefilms.net/,Terence Davies,2016,tt2392830,6.5,"4,665",
2,"Emma Bell, Sara Vertongen, Rose Williams, Benjamin Wainwright",3 wins & 22 nominations.,"$1,864,266 ","UK, Belgium, USA, Canada",11-Jul-17,Terence Davies,"Biography, Drama",English,77,"The story of American poet Emily Dickinson from her early days as a young schoolgirl to her later years as a reclusive, unrecognized artist.",https://m.media-amazon.com/images/M/MV5BZDNhNDg5ZGItMzA2YS00NDRlLWE2NTItNWQ0OGEwZGIyOTc2XkEyXkFqcGdeQXVyNDU0NjMyNTQ@._V1_SX300.jpg,Hurricane Films,PG-13,"{'Source': 'Metacritic', 'Value': '77/100'}",7-Apr-17,TRUE,125 min,A Quiet Passion,movie,http://www.hurricanefilms.net/,Terence Davies,2016,tt2392830,6.5,"4,665",
0,"Emily Blunt, John Krasinski, Millicent Simmonds, Noah Jupe",N/A,N/A,USA,10-Jul-18,John Krasinski,"Drama, Horror, Sci-Fi","English, American Sign Language",82,"In a post-apocalyptic world, a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing.",https://m.media-amazon.com/images/M/MV5BMjI0MDMzNTQ0M15BMl5BanBnXkFtZTgwMTM5NzM3NDM@._V1_SX300.jpg,Paramount Pictures,PG-13,"{'Source': 'Internet Movie Database', 'Value': '7.5/10'}",6-Apr-18,TRUE,90 min,A Quiet Place,movie,https://www.facebook.com/AQuietPlaceMovie,"Bryan Woods (screenplay by), Scott Beck (screenplay by), John Krasinski (screenplay by), Bryan Woods (story by), Scott Beck (story by)",2018,tt6644200,7.5,"319,499",
1,"Emily Blunt, John Krasinski, Millicent Simmonds, Noah Jupe",N/A,N/A,USA,10-Jul-18,John Krasinski,"Drama, Horror, Sci-Fi","English, American Sign Language",82,"In a post-apocalyptic world, a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing.",https://m.media-amazon.com/images/M/MV5BMjI0MDMzNTQ0M15BMl5BanBnXkFtZTgwMTM5NzM3NDM@._V1_SX300.jpg,Paramount Pictures,PG-13,"{'Source': 'Rotten Tomatoes', 'Value': '95%'}",6-Apr-18,TRUE,90 min,A Quiet Place,movie,https://www.facebook.com/AQuietPlaceMovie,"Bryan Woods (screenplay by), Scott Beck (screenplay by), John Krasinski (screenplay by), Bryan Woods (story by), Scott Beck (story by)",2018,tt6644200,7.5,"319,499",
2,"Emily Blunt, John Krasinski, Millicent Simmonds, Noah Jupe",N/A,N/A,USA,10-Jul-18,John Krasinski,"Drama, Horror, Sci-Fi","English, American Sign Language",82,"In a post-apocalyptic world, a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing.",https://m.media-amazon.com/images/M/MV5BMjI0MDMzNTQ0M15BMl5BanBnXkFtZTgwMTM5NzM3NDM@._V1_SX300.jpg,Paramount Pictures,PG-13,"{'Source': 'Metacritic', 'Value': '82/100'}",6-Apr-18,TRUE,90 min,A Quiet Place,movie,https://www.facebook.com/AQuietPlaceMovie,"Bryan Woods (screenplay by), Scott Beck (screenplay by), John Krasinski (screenplay by), Bryan Woods (story by), Scott Beck (story by)",2018,tt6644200,7.5,"319,499",
0,"David Oyelowo, Rosamund Pike, Tom Felton, Jack Davenport",1 win & 4 nominations.,"$3,901,302 ","Czech Republic, UK, USA, France, Botswana",6-Jun-17,Amma Asante,"Biography, Drama, Romance","Tswana, English",65,"The story of King Seretse Khama of Botswana and how his loving but controversial marriage to a British white woman, Ruth Williams, put his kingdom into political and diplomatic turmoil.",https://m.media-amazon.com/images/M/MV5BOGRhMjY4YjAtOGI4ZC00OTc1LTk0ZDUtMTBhNjMyMzEzMjc3L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTgwMTQyNjY@._V1_SX300.jpg,Harbinger Pictures,PG-13,"{'Source': 'Internet Movie Database', 'Value': '6.8/10'}",10-Feb-17,TRUE,111 min,A United Kingdom,movie,http://www.aunitedkingdomfilm.com/,"Guy Hibbert (screenplay by), Susan Williams (based upon the book 'Colour Bar' by)",2016,tt3387266,6.8,"12,526",
1,"David Oyelowo, Rosamund Pike, Tom Felton, Jack Davenport",1 win & 4 nominations.,"$3,901,302 ","Czech Republic, UK, USA, France, Botswana",6-Jun-17,Amma Asante,"Biography, Drama, Romance","Tswana, English",65,"The story of King Seretse Khama of Botswana and how his loving but controversial marriage to a British white woman, Ruth Williams, put his kingdom into political and diplomatic turmoil.",https://m.media-amazon.com/images/M/MV5BOGRhMjY4YjAtOGI4ZC00OTc1LTk0ZDUtMTBhNjMyMzEzMjc3L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTgwMTQyNjY@._V1_SX300.jpg,Harbinger Pictures,PG-13,"{'Source': 'Rotten Tomatoes', 'Value': '83%'}",10-Feb-17,TRUE,111 min,A United Kingdom,movie,http://www.aunitedkingdomfilm.com/,"Guy Hibbert (screenplay by), Susan Williams (based upon the book 'Colour Bar' by)",2016,tt3387266,6.8,"12,526",
2,"David Oyelowo, Rosamund Pike, Tom Felton, Jack Davenport",1 win & 4 nominations.,"$3,901,302 ","Czech Republic, UK, USA, France, Botswana",6-Jun-17,Amma Asante,"Biography, Drama, Romance","Tswana, English",65,"The story of King Seretse Khama of Botswana and how his loving but controversial marriage to a British white woman, Ruth Williams, put his kingdom into political and diplomatic turmoil.",https://m.media-amazon.com/images/M/MV5BOGRhMjY4YjAtOGI4ZC00OTc1LTk0ZDUtMTBhNjMyMzEzMjc3L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTgwMTQyNjY@._V1_SX300.jpg,Harbinger Pictures,PG-13,"{'Source': 'Metacritic', 'Value': '65/100'}",10-Feb-17,TRUE,111 min,A United Kingdom,movie,http://www.aunitedkingdomfilm.com/,"Guy Hibbert (screenplay by), Susan Williams (based upon the book 'Colour Bar' by)",2016,tt3387266,6.8,"12,526",
0,"Eva Beckmann, Rena Drexler, Renee Firestone, Erika Jacoby",N/A,N/A,"Poland, USA",N/A,Jon Kean,Documentary,English,74,"""You're free. Go home"" Most Holocaust films end with these words, the very words that survivors heard at liberation. After Auschwitz begins with these words, inviting audiences to ...",https://m.media-amazon.com/images/M/MV5BMTQyYWEwNWMtZWIyNy00NjBmLWIyNmMtNGRmMWU1ZmYxYzkxXkEyXkFqcGdeQXVyMTM5MzY0NjI@._V1_SX300.jpg,N/A,N/A,"{'Source': 'Internet Movie Database', 'Value': '7.0/10'}",25-Mar-17,TRUE,83 min,After Auschwitz,movie,N/A,"Deborah Blum, Jon Kean",2017,tt6079976,7,55,
1,"Eva Beckmann, Rena Drexler, Renee Firestone, Erika Jacoby",N/A,N/A,"Poland, USA",N/A,Jon Kean,Documentary,English,74,"""You're free. Go home"" Most Holocaust films end with these words, the very words that survivors heard at liberation. After Auschwitz begins with these words, inviting audiences to ...",https://m.media-amazon.com/images/M/MV5BMTQyYWEwNWMtZWIyNy00NjBmLWIyNmMtNGRmMWU1ZmYxYzkxXkEyXkFqcGdeQXVyMTM5MzY0NjI@._V1_SX300.jpg,N/A,N/A,"{'Source': 'Metacritic', 'Value': '74/100'}",25-Mar-17,TRUE,83 min,After Auschwitz,movie,N/A,"Deborah Blum, Jon Kean",2017,tt6079976,7,55,
